name,price,position,brand,model,year_pd,km,status,transmission,fuel,country,style,seat_capacity,payload
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"314 Luỹ Bán Bích , Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"69, Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"69, Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"71 Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"314 Luỹ Bán Bích , Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
,,"Đường Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",,,,,,,,,,,
